,_id,nome_percorso,url,distanza,tipo,fondo,pendenza_max,dislivello,rif_regione
0,2313,Alba Adriatica (uscita A 14 val vibrata) - bivio Piano Risteccio,https://www.piste-ciclabili.com/itinerari/2313-alba-adriatica-uscita-a-14-val-vibrata-bivio-piano-risteccio,28 km,strada,asfalto,13 %,420 m,0
1,1569,Alba Adriatica - Corropoli,https://www.piste-ciclabili.com/itinerari/1569-alba-adriatica-corropoli,14 km,strada,asfalto,26 %,154 m,0
2,2591,Alba Adriatica: ciclabile del Vibrata,https://www.piste-ciclabili.com/itinerari/2591-alba-adriatica-ciclabile-del-vibrata,2 km,ciclopedonale,asfalto,2 %,7 m,0
3,3801,Altipiano delle Rocche: ciclabile,https://www.piste-ciclabili.com/itinerari/3801-altipiano-delle-rocche-ciclabile,35 km,ciclopedonale,misto,20 %,198 m,0
4,5758,anello isola del gran sasso,https://www.piste-ciclabili.com/itinerari/5758-anello-isola-del-gran-sasso,31 km,ciclabile,asfalto,20 %,560 m,0
5,5659,Arcinazzo - Campo - Staffi - Renga - Filettino (anell,https://www.piste-ciclabili.com/itinerari/5659-arcinazzo-campo-staffi-renga-filettino-anell,47 km,sentiero,misto,26 %,1780 m,0
6,5769,Arcinazzo Campo Staffi Renga Filettino Arcinazzo,https://www.piste-ciclabili.com/itinerari/5769-arcinazzo-campo-staffi-renga-filettino-arcinazzo,47 km,sentiero,misto,26 %,1780 m,0
7,3585,Avezzano: ciclabile nord,https://www.piste-ciclabili.com/itinerari/3585-avezzano-ciclabile-nord,5 km,ciclopedonale,asfalto,5 %,46 m,0
8,1887,Avezzano: primi 100m di ciclabile,https://www.piste-ciclabili.com/itinerari/1887-avezzano-primi-100m-di-ciclabile,1 km,ciclabile,asfalto,5 %,1 m,0
9,2290,Bivio Corropoli,https://www.piste-ciclabili.com/itinerari/2290-bivio-corropoli,1 km,ciclabile,asfalto,2 %,5 m,0
10,2305,Bivio corropoli - Nereto,https://www.piste-ciclabili.com/itinerari/2305-bivio-corropoli-nereto,5 km,strada,misto,13 %,90 m,0
11,1927,Capistrello: ciclabile SS82,https://www.piste-ciclabili.com/itinerari/1927-capistrello-ciclabile-ss82,3 km,ciclabile,asfalto,5 %,32 m,0
12,2423,Ceppo - cascate della Morricana,https://www.piste-ciclabili.com/itinerari/2423-ceppo-cascate-della-morricana,5 km,ciclostrada,misto,29 %,243 m,0
13,2672,Ciclabile lago di Scanno,https://www.piste-ciclabili.com/itinerari/2672-ciclabile-lago-di-scanno,2 km,ciclabile,asfalto,0 %,5 m,0
14,1913,Ciclabile Villalago,https://www.piste-ciclabili.com/itinerari/1913-ciclabile-villalago,3 km,ciclabile,asfalto,27 %,111 m,0
15,3178,Ciclopedonale di Fossacesia Marina,https://www.piste-ciclabili.com/itinerari/3178-ciclopedonale-di-fossacesia-marina,1 km,ciclopedonale,asfalto,2 %,1 m,0
16,3190,CIclopedonale di Orsogna,https://www.piste-ciclabili.com/itinerari/3190-ciclopedonale-di-orsogna,2 km,ciclopedonale,asfalto,2 %,22 m,0
17,3181,Ciclopedonale di Pretoro,https://www.piste-ciclabili.com/itinerari/3181-ciclopedonale-di-pretoro,2 km,ciclopedonale,asfalto,7 %,100 m,0
18,4194,Ciclovia Adriatica: Termoli - Pescara,https://www.piste-ciclabili.com/itinerari/4194-ciclovia-adriatica-termoli-pescara,64 km,ciclostrada,asfalto,20 %,76 m,0
19,2358,Cologna spiaggia: attraversamento,https://www.piste-ciclabili.com/itinerari/2358-cologna-spiaggia-attraversamento,2 km,strada,asfalto,3 %,3 m,0
20,3317,Cona - Versante Bosco (MTB),https://www.piste-ciclabili.com/itinerari/3317-cona-versante-bosco-mtb,4 km,sentiero,terra,27 %,429 m,0
21,3837,Controguerra - Villa Lempa,https://www.piste-ciclabili.com/itinerari/3837-controguerra-villa-lempa,23 km,strada,asfalto,24 %,202 m,0
22,76,Corridoio Verde Adriatico: Alba Adriatica - Cologna spiaggia,https://www.piste-ciclabili.com/itinerari/76-corridoio-verde-adriatico-alba-adriatica-cologna-spiaggia,18 km,ciclabile,asfalto,0 %,0 m,0
23,463,Corridoio Verde Adriatico: Scerne - Pineto,https://www.piste-ciclabili.com/itinerari/463-corridoio-verde-adriatico-scerne-pineto,11 km,ciclopedonale,misto,0 %,0 m,0
24,2935,Corropoli - Martinsicuro,https://www.piste-ciclabili.com/itinerari/2935-corropoli-martinsicuro,20 km,strada,asfalto,21 %,276 m,0
25,4543,Cupello - Monteodorisio,https://www.piste-ciclabili.com/itinerari/4543-cupello-monteodorisio,3 km,ciclostrada,asfalto,1 %,15 m,0
26,2117,Fiume Tronto: risalita lungo l'argine nord,https://www.piste-ciclabili.com/itinerari/2117-fiume-tronto-risalita-lungo-largine-nord,18 km,ciclostrada,misto,5 %,46 m,0
27,1733,Fondovalle Salinello,https://www.piste-ciclabili.com/itinerari/1733-fondovalle-salinello,19 km,strada,asfalto,6 %,148 m,0
28,1678,Fonte Medoro - Bosco la Selva,https://www.piste-ciclabili.com/itinerari/1678-fonte-medoro-bosco-la-selva,6 km,strada,asfalto,21 %,153 m,0
29,4080,Fonte Vetica,https://www.piste-ciclabili.com/itinerari/4080-fonte-vetica,2 km,sentiero,misto,11 %,55 m,0
30,4076,Fonte Vetica: asfalto,https://www.piste-ciclabili.com/itinerari/4076-fonte-vetica-asfalto,2 km,strada,asfalto,7 %,102 m,0
31,4077,Fonte Vetica: Ex miniera,https://www.piste-ciclabili.com/itinerari/4077-fonte-vetica-ex-miniera,3 km,sentiero,ghiaia,16 %,227 m,0
32,2719,Francavilla al Mare: lungomare centrale sud,https://www.piste-ciclabili.com/itinerari/2719-francavilla-al-mare-lungomare-centrale-sud,1 km,ciclopedonale,asfalto,2 %,8 m,0
33,1761,Francavilla nord,https://www.piste-ciclabili.com/itinerari/1761-francavilla-nord,1 km,ciclabile,asfalto,6 %,3 m,0
34,1760,Francavilla sud,https://www.piste-ciclabili.com/itinerari/1760-francavilla-sud,2 km,ciclabile,asfalto,1 %,4 m,0
35,2505,Francavilla sud - foce del Foro,https://www.piste-ciclabili.com/itinerari/2505-francavilla-sud-foce-del-foro,1 km,strada,asfalto,0 %,0 m,0
36,597,Giro del Lago di Campotosto,https://www.piste-ciclabili.com/itinerari/597-giro-del-lago-di-campotosto,26 km,strada,asfalto,28 %,112 m,0
37,599,Giro del lago di Mascioni,https://www.piste-ciclabili.com/itinerari/599-giro-del-lago-di-mascioni,14 km,strada,asfalto,24 %,73 m,0
38,2779,Giro della marrucina,https://www.piste-ciclabili.com/itinerari/2779-giro-della-marrucina,42 km,strada,misto,17 %,320 m,0
39,2802,Giro della Montagna di Campli: Traversa - Macchia da Sole,https://www.piste-ciclabili.com/itinerari/2802-giro-della-montagna-di-campli-traversa-macchia-da-sole,31 km,ciclopedonale,misto,0 %,0 m,0
40,6108,Giulianova - Campli - Civitella (anello),https://www.piste-ciclabili.com/itinerari/6108-giulianova-campli-civitella-anello,89 km,ciclostrada,asfalto,20 %,596 m,0
41,1686,Giulianova - Contrada Salino,https://www.piste-ciclabili.com/itinerari/1686-giulianova-contrada-salino,5 km,strada,asfalto,9 %,23 m,0
42,5604,Giulianova - Montone - Bellante - Sant'Onofrio,https://www.piste-ciclabili.com/itinerari/5604-giulianova-montone-bellante-santonofrio,32 km,strada,asfalto,20 %,347 m,0
43,2497,Giulianova - Santa Maria dell'Arco di Mosciano Sant'Angelo,https://www.piste-ciclabili.com/itinerari/2497-giulianova-santa-maria-dellarco-di-mosciano-santangelo,7 km,ciclostrada,misto,4 %,35 m,0
44,1043,Giulianova SS16 sud,https://www.piste-ciclabili.com/itinerari/1043-giulianova-ss16-sud,1 km,ciclopedonale,asfalto,0 %,2 m,0
45,757,Giulianova: stazione FS - ciclabile lungomare,https://www.piste-ciclabili.com/itinerari/757-giulianova-stazione-fs-ciclabile-lungomare,1 km,ciclabile,asfalto,0 %,1 m,0
46,1023,Giulianova: viale Orsini,https://www.piste-ciclabili.com/itinerari/1023-giulianova-viale-orsini,1 km,ciclabile,asfalto,1 %,3 m,0
47,1555,Grasciano - Cordesco,https://www.piste-ciclabili.com/itinerari/1555-grasciano-cordesco,4 km,ciclostrada,misto,9 %,31 m,0
48,2891,Intorno alla Montagna dei Fiori: da Villa Lempa a Colle San Marco,https://www.piste-ciclabili.com/itinerari/2891-intorno-alla-montagna-dei-fiori-da-villa-lempa-a-colle-san-marco,11 km,ciclostrada,asfalto,0 %,0 m,0
49,90,La ciclabile della Badia: Val Vibrata - Badia di Corropoli,https://www.piste-ciclabili.com/itinerari/90-la-ciclabile-della-badia-val-vibrata-badia-di-corropoli,3 km,ciclopedonale,asfalto,11 %,68 m,0
50,2362,La Via dei borghi,https://www.piste-ciclabili.com/itinerari/2362-la-via-dei-borghi,8 km,strada,misto,0 %,0 m,0
51,1912,Lago di Barrea: sentiero,https://www.piste-ciclabili.com/itinerari/1912-lago-di-barrea-sentiero,5 km,sentiero,ghiaia,13 %,31 m,0
52,3182,Lanciano: anello della 167,https://www.piste-ciclabili.com/itinerari/3182-lanciano-anello-della-167,4 km,ciclopedonale,asfalto,10 %,32 m,0
53,3363,Lido Le Morge - Lido Casalbordino,https://www.piste-ciclabili.com/itinerari/3363-lido-le-morge-lido-casalbordino,2 km,ciclabile,misto,3 %,7 m,0
