,_id,tappa_intermedia,tappa_intermedia_lat,tappa_intermedia_lng
0,1881,Castel d'Ario (0 m slm),45.1887215100512,10.9757709503174
1,1881,Strada Gazzuolo (0 m slm),45.1790723416466,10.9676170349121
2,1881,Barbassolo (0 m slm),45.1387035537739,10.9406661987305
3,1880,Castel d'Ario con pista ciclopedonale (22 m slm),45.1927137909992,10.968132019043
4,1880,Centro paese Castel d'Ario (20 m slm),45.1834282816125,10.9857702255249
5,1880,Strada interna asfaltata (21 m slm),45.1824300748058,10.986328125
6,1880,Inizio strada sterrata (18 m slm),45.1780740584668,10.9877872467041
7,1880,Fine strada sterrata e inizio strada interna asfaltata (20 m slm),45.1822485807787,10.9969711303711
8,1880,Strada ciclopedonale asfaltata con passaggio auto (17 m slm),45.1830350507174,11.0007476806641
9,1880,Bonferraro (21 m slm),45.1846987013263,11.0099315643311
10,3425,Casteldidone (30 m slm),45.0684894619433,10.4049754142761
11,3425,Asola (42 m slm),45.220651916701,10.4133814573288
12,3211,Venendo da tornata seguire le indicazioni per bozzolo (0 m slm),45.08042,10.42565
13,3211,Chisa di s. pietro tomba di don Primo Mazzolari (0 m slm),45.10623,10.47558
14,3211,Piscine (0 m slm),45.1074,10.48444
15,3429,Casteldidone (30 m slm),45.0683530693232,10.4047501087189
16,3429,Bozzolo (30 m slm),45.1010931100757,10.4855489730835
17,3429,Marcaria (29 m slm),45.1243073151978,10.5340540409088
18,3455,Casteldidone (28 m slm),45.0683379145675,10.4048895835876
19,3455,Attraversamento pericoloso (28 m slm),45.1212792526067,10.4444253444672
20,3455,Agriturismo wwf le bine (31 m slm),45.1380829707045,10.4364216327667
21,3212,Attraversamento pericoloso (29 m slm),45.1214060559518,10.4444146156311
22,3212,Agriturismo %22le bine%22 (30 m slm),45.1381737881609,10.4361641407013
23,3426,Casteldidone (28 m slm),45.06829,10.40466
24,3426,San giovanni in croce (32 m slm),45.07896,10.3736
25,3426,Solarolo rainerio (29 m slm),45.08132,10.35703
26,3426,Gussola (28 m slm),45.00887,10.35076
27,3426,Piazza casalmaggiore(la liston de casalmagiur) (32 m slm),44.98591,10.41478
28,3838,Casteldidone (28 m slm),45.0681560571862,10.4045569896698
29,3838,Circuito (29 m slm),45.0856874782447,10.3141129016876
30,3838,Casteldidone (28 m slm),45.0681181701589,10.4045194387436
31,3462,Casteldidone (28 m slm),45.0686713182639,10.4047393798828
32,3462,Semaforo (25 m slm),45.0671255210962,10.4873728752136
33,3462,Ponte sull'oglio (0 m slm),45.1138143919484,10.5314683914185
34,3569,Casteldidone (28 m slm),45.0685216657089,10.4048252105713
35,3569,Ponte di barche di commessaggio (20 m slm),45.0329785121768,10.5455929040909
36,3569,Ponte di barche di torreoglio (22 m slm),45.0403250614199,10.6515991687775
37,3424,Casteldidone (30 m slm),45.0685197713703,10.4048037528992
38,3424,Gattarolo cappellino (30 m slm),45.1100588798724,10.3138554096222
