,_id,bambini,pattinatori,descrizione,ultimo_aggiornam,link_imm_percorso
0,1881, Non votato, Non votato,"
Strada interna poco trafficata per raggiungere le piste per Mantova e per il Lago di Garda

"," 29 settembre 11

",https://www.piste-ciclabili.com/print/1881-castel_d%27ario_-_barbassolo
1,1880, Non votato, Non votato,"
Pista ciclopedonale su asfalto e ghiaia con brevi tratti di 50 metri massimo su strada con auto

"," 11 novembre 09

",https://www.piste-ciclabili.com/print/1880-castel_d%27ario_-_bonferraro
2,3425, No, No,"
Da Casteldidone a Asola lunga strade promisque

"," 4 ottobre 11

",https://www.piste-ciclabili.com/print/3425-casteldidone_-_asola
3,3211, Si, No,"
Utilizzando parte del tracciato Casteldidone - Calvatone.


"," 29 agosto 11

",https://www.piste-ciclabili.com/print/3211-casteldidone_-_bozzolo
4,3429, Non votato, No,"
Bel tragitto. Ottime strade tranquille.

"," 4 ottobre 11

",https://www.piste-ciclabili.com/print/3429-casteldidone_-_bozzolo_-_san_martino_dall%27argine_-_marcaria
5,3455, Si, No,"
I du dla picaia a calvaton ma apena da pasag. Le bine, bel post

"," 16 ottobre 11

",https://www.piste-ciclabili.com/print/3455-casteldidone_-_calvatone_-_le_bine
6,3212, Si, Non votato,"
La strada é adatta ai bambini in quanto é molto tranquilla.

L'oasi le bine é da poco divenuta un agriturismo e ideale per i bambini dato che ivi è presente un buon numero di animali da cortile e da fattoria (vedere il sito www.le bine.it, e anche il sito www.ogliosud.net)

"," 16 agosto 11

",https://www.piste-ciclabili.com/print/3212-casteldidone_-_calvatone_-_le_bine
7,3426, Si, No,"
modifica del precedente itinerario a causa di problemi al ponte colombarola.


"," 6 maggio 12

",https://www.piste-ciclabili.com/print/3426-casteldidone_-_casalmaggiore_-_al_po
8,3838, Si, No,"
In realtà il circuito si trova in località Cà de' Soresini.

Giretto nella campagna cremonese nei comuni di: casteldidone, san giovanni in croce, solarolo rainerio, voltido e frazioni, san martino del lago e frazioni.

"," 13 giugno 12

",https://www.piste-ciclabili.com/print/3838-casteldidone_-_circuito_san_martino_del_lago_(anello)
9,3462, Si, No,"
Stradine basse per una domenica pomeriggio.

"," 17 ottobre 11

",https://www.piste-ciclabili.com/print/3462-casteldidone_-_cividale_-_spineda_-_san_martino_-_marcaria
10,3569, Non votato, No,"
i due ponti in chiatte nel casalasco-viadanese

"," 25 dicembre 11

",https://www.piste-ciclabili.com/print/3569-casteldidone_-_commessaggio_-_torre_oglio
11,3424, No, No,"
Lungo la via Postumia.

"," 4 ottobre 11

",https://www.piste-ciclabili.com/print/3424-casteldidone_-_cremona
12,3156, Si, Si,"
Viaggio lungo la tranquilla via Postumia, tra il canale Delmona tagliata e i campi coltivati.


"," 11 novembre 12

",https://www.piste-ciclabili.com/print/3156-casteldidone_-_cremona
13,3571, No, No,"
Finalmente in provincia di Brescia

"," 27 dicembre 11

",https://www.piste-ciclabili.com/print/3571-casteldidone_-_fiesse
14,3325, No, No,"
Collegamento alla ciclabile foce Oglio sul Po - Gazzuolo

"," 29 agosto 11

",https://www.piste-ciclabili.com/print/3325-casteldidone_-_gazzuolo
15,3576, No, No,"
Da Casteldidone fino al Garda passando per Goito e la parte terminale della Mantova-Peschiera.

Buona pedalata!


"," 6 gennaio 12

",https://www.piste-ciclabili.com/print/3576-casteldidone_-_goito_-_ciclovia_mantova_peschiera
16,3410, No, No,"
Tra le belle stradine cremonesi.

A grùntard!! per i dù dla picaia!

"," 19 settembre 11

",https://www.piste-ciclabili.com/print/3410-casteldidone_-_grontardo
17,3456, No, No,"
I du dla picaia, l'an quen, i andrà a gruntard.

"," 3 febbraio 12

",https://www.piste-ciclabili.com/print/3456-casteldidone_-_grontardo
18,3369, No, No,"
dinuovo a cremona ma non in città, bensì all'iper!

"," 4 settembre 11

",https://www.piste-ciclabili.com/print/3369-casteldidone_-_iper_gadesco_-_pieve_delmona
19,3567, No, No,"
Giretto completo tra: campi, Oglio, piccoli paesini

"," 25 dicembre 11

",https://www.piste-ciclabili.com/print/3567-casteldidone_-_isola_dovarese_-_piadena_-_tornata_-_rivarolo_mantovano_(anello)
20,3597, No, No,"
Collegamento con l'argine di Po

"," 8 febbraio 12

",https://www.piste-ciclabili.com/print/3597-casteldidone_-_motta_baluffi
21,3241, Non votato, No,"
Per Piadena da Casteldidone seguire il percorso da me segnalato Casteldidone-Piadena.

Da piadena si raggiunge (in ordine) drizzona, castelfranco d'Oglio (da qui si prende la greenway verso il fiume Mella), isola Dovarese, Monticelli ripa d'Oglio, Villarocca, Gabbioneta, Binanuova, scandolara ripa d'Oglio.

Da quest'ultimo punto si può raggiungere il percorso Pontevico - Robecco - Scandolara - Seniga - Alfianello segnalato da anonimo.

Da Castelfranco si è sempre in riva al fiume oglio.

"," 29 agosto 11

",https://www.piste-ciclabili.com/print/3241-casteldidone_-_piadena_-_scandolara_-_ripa_d%27oglio
22,3202, Si, No,"
viaggio lungo le strade comunali di casteldidone e piadena.
il percorso passa vicino a un recinto con asini, daini, capre,... e panchine. ottima sosta per i bambini.
Piadena giorno di mercato: martedì

"," 16 agosto 11

",https://www.piste-ciclabili.com/print/3202-casteldidone_-_piadena_passando_per_i_lagazzi
23,3427, No, No,"
Da Casteldidone alla confluenza Oglio-po. Le rampe del ponte sono ripide.

"," 4 ottobre 11

",https://www.piste-ciclabili.com/print/3427-casteldidone_-_ponte_di_barche
24,3192, Non votato, No,"
Piacevole escursione tra campi, canali di bonifica e corti.

Giorno di mercato casalmaggiore: sabato

"," 15 agosto 11

",https://www.piste-ciclabili.com/print/3192-casteldidone_-_rivarolo_del_re_-_casalmaggiore_al_po
25,3343, No, No,"
Alla piccola atene da Casteldidone passando per Spineda

"," 31 agosto 11

",https://www.piste-ciclabili.com/print/3343-casteldidone_-_sabbioneta
26,3367, No, No,"
L'ennesimo itinerario da Casteldidone, insieme a San Giovanni, il luogo migliore per iniziare gli itinerari nella bassa cremonese e mantovana.

Ottima partenza anche per il bresciano. Itinerario non ancora eseguito da me personalmente, ma già pianificato per il prossimo anno

"," 3 settembre 11

",https://www.piste-ciclabili.com/print/3367-casteldidone_-_san_giovanni_in_croce_-_asola
27,3545, Si, No,"
Le stradine casalasche sorprendono sempre di più.

Castelponzone luogo storico.
viva i du dla picaia


"," 12 dicembre 11

",https://www.piste-ciclabili.com/print/3545-casteldidone_-_scandolara_ravara_-_per_castelponzone
28,3457, No, No,"
I du dla picaia i ghe quasi rivà a Bresel da don Camillo e Peppone.

"," 16 ottobre 11

",https://www.piste-ciclabili.com/print/3457-casteldidone_-_viadana_-_bresciello
29,3463, Si, No,"
Per passare un po' di tempo

"," 17 ottobre 11

",https://www.piste-ciclabili.com/print/3463-casteldidone:_al_biogas
30,3461, Si, No,"
Laghetto di Casteldidone, solo in estate e con erba tagliata


"," 16 ottobre 11

",https://www.piste-ciclabili.com/print/3461-casteldidone:_laghetto
31,43, Si, Non votato,"
Si parte dalla stazione ferroviaria di Castellanza e si utilizza la pista ciclabile, perfetta, fino a Solbiate Olona, poi si seguono la tracce che fiancheggiano il fiume Olona.

Attualmente il percorso si conclude a Castiglione Olona, ma un progetto prevede di continuarlo fino a Mendrisio, seguendo la ex ferrovia.


"," 11 giugno 07

",https://www.piste-ciclabili.com/print/43-castellanza_-_castiglione_olona
