,_id,commento,data
0,3156,gia fatto ;), 2 settembre 11
1,3597,"@ giamba, grazie, peccato che il 25 aprile c'era vento, altrimenti ci saremmo incontrati", 27 aprile 12
2,3597,Percorso il 25 aprile è magnifico!!!!!, 27 aprile 12
3,3192,ia ke bel kel gir lé... xD, 2 settembre 11
4,43,È fattibile con bici da corsa?, 8 settembre 17
5,43,o, 22 agosto 15
6,43,:cool, 2 febbraio 15
7,43,"La pedemontana è terminata e anche la pista ciclopedonale è stata sistemata...peccato non aver messo della ghiaietta, si sarebbe evitato il pantano dopo la pioggia..ma si sa: si fa il 30 ma non il 31! http://i62.tinypic.com/34s3xhk.jpg", 1 febbraio 15
8,43,Per ora solo sabato e domenica aperta la pista tra Fagnano Olona e Solbiate interrotta per i lavori della pedemontana. Spero finiscano in fretta la sistemazione della pista., 6 ottobre 14
9,43,o, 17 giugno 13
10,43,"L'inizio pista a Castellanza è chiusa, causa lavori all'argine con termine previsto il 15 aprile 2013, oggi 18 maggio non sono finiti!!!!! Si può passare solo di sabato e domenica. Conviene passare davanti al cimitero di Castellanza e girare alla 4°a destra, via Redipuglia.", 18 maggio 13
11,43,"Faccio spesso questo giro da Castellanza a Castiglione e ritorno. Ci vuole circa 1h 45', a 25-28 km/h di media.", 3 aprile 13
12,43,volevo segnalare una alternativa causa lavori per la pedemontana., 25 giugno 12
13,43,percorso alternativo per interruzione della pista ciclabile Valle Olona ex Ferrovia Valmorea, 9 giugno 12
14,43,"Attenzione, il tratto tra Fagnano Olona e Solbiate Olona è chiuso causa lavori Pedemontana, in settimana si puo' raggirare la rete,il sabato e domenica, il cancello è chiuso....Scendere al ponte con le scale a Fagnano, percorrere la carrozzabile, poco trafficata, e rientrare a Solbiate", 2 ottobre 11
15,43,"Ciao a tutti,", 2 maggio 11
16,43,"Fatta oggi, al contrario da castiglione. Davvero carina, anche se prima di marnate si perde un po'.", 1 maggio 11
